time_years,d_events,risk_sum,baseline_cumhaz
6.07,1,97.17964673331585,0.5874499067819534
6.09,1,93.17653502902442,0.5981822225918138
6.140000000000001,3,92.00324680706296,0.6307897674786938
6.16,1,88.55955285869415,0.6420816040758771
6.260000000000001,1,83.18494463984919,0.6541030101647977
6.27,2,81.61681089889476,0.6786077657166601
6.390000000000001,1,70.77606076908916,0.692736836890352
6.420000000000001,1,69.84947706180219,0.7070533363412386
6.489999999999999,1,66.50480959457337,0.7220898428149237
6.52,1,65.00140774047283,0.7374741250137438
6.56,1,62.60053105148463,0.7534484303942774
6.69,1,55.26384293488351,0.7715434441843659
6.7,2,54.28596486815402,0.8083853793854342
6.829999999999999,1,51.55200359877746,0.8277832675409145
6.91,1,47.54023183756024,0.8488180829245855
6.920000000000001,1,46.97244563632548,0.8701071596684768
6.97,1,44.04491952924289,0.8928112538225386
6.98,1,41.60077214671396,0.9168492691861305
7.010000000000001,1,39.623284326952266,0.942086954980889
7.05,1,37.67740008594273,0.9686280644448909
7.32,1,30.940673205169084,1.000947981770831
7.37,1,28.915842643000257,1.0355310998333467
7.46,1,25.10215276796481,1.0753683205388231
7.489999999999999,1,22.775754613650456,1.1192746594050076
7.68,1,19.111019720588,1.1716004910257407
8.08,1,11.091072597986328,1.2617630962350472
8.459999999999999,1,8.51542806507599,1.3791970047077478
8.540000000000001,1,6.8610910233439775,1.5249464192830142
